dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,budget_in_bytes,is_guideline,lookup_time,lookup_accu
books_200M_uint64,200000000,radix,linear_regression,510,none,model_biased_exponential,8184,0,20000000,8192,0,10425839497,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,510,none,model_biased_exponential,8184,1,20000000,8192,0,10425414715,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,510,none,model_biased_exponential,8184,2,20000000,8192,0,10426079623,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,340,labs,binary,8184,0,20000000,8192,0,9200856510,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,340,labs,binary,8184,1,20000000,8192,0,9201214392,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,340,labs,binary,8184,2,20000000,8192,0,9191430161,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,255,lind,model_biased_binary,8184,0,20000000,8192,0,10569003540,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,255,lind,model_biased_binary,8184,1,20000000,8192,0,10561057822,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,255,lind,model_biased_binary,8184,2,20000000,8192,0,10560272676,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,340,labs,binary,8192,0,20000000,8192,1,8298578148,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,340,labs,binary,8192,1,20000000,8192,1,8297490082,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,340,labs,binary,8192,2,20000000,8192,1,8298132450,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1022,none,model_biased_exponential,16384,0,20000000,16384,0,7876555856,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1022,none,model_biased_exponential,16384,1,20000000,16384,0,7867388234,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,1022,none,model_biased_exponential,16384,2,20000000,16384,0,7867582097,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,681,labs,binary,16376,0,20000000,16384,0,7733389341,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,681,labs,binary,16376,1,20000000,16384,0,7734360658,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,681,labs,binary,16376,2,20000000,16384,0,7733906128,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,511,lind,model_biased_binary,16384,0,20000000,16384,0,7611667298,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,511,lind,model_biased_binary,16384,1,20000000,16384,0,7611904040,2000207222435828
books_200M_uint64,200000000,linear_spline,linear_regression,511,lind,model_biased_binary,16384,2,20000000,16384,0,7601101766,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1021,none,model_biased_exponential,16384,0,20000000,16384,0,8252486608,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1021,none,model_biased_exponential,16384,1,20000000,16384,0,8243507419,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,1021,none,model_biased_exponential,16384,2,20000000,16384,0,8242536736,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,680,labs,binary,16368,0,20000000,16384,0,8015492984,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,680,labs,binary,16368,1,20000000,16384,0,8014453159,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,680,labs,binary,16368,2,20000000,16384,0,8005489390,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,510,lind,model_biased_binary,16368,0,20000000,16384,0,7901722901,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,510,lind,model_biased_binary,16368,1,20000000,16384,0,7909947284,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_regression,510,lind,model_biased_binary,16368,2,20000000,16384,0,7900301738,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1022,none,model_biased_exponential,16384,0,20000000,16384,0,9251681155,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1022,none,model_biased_exponential,16384,1,20000000,16384,0,9252365185,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,1022,none,model_biased_exponential,16384,2,20000000,16384,0,9251770400,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,681,labs,binary,16376,0,20000000,16384,0,8517716000,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,681,labs,binary,16376,1,20000000,16384,0,8517531471,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,681,labs,binary,16376,2,20000000,16384,0,8517538172,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,511,lind,model_biased_binary,16384,0,20000000,16384,0,8550171708,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,511,lind,model_biased_binary,16384,1,20000000,16384,0,8549272260,2000207222435828
books_200M_uint64,200000000,linear_regression,linear_regression,511,lind,model_biased_binary,16384,2,20000000,16384,0,8550216908,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1022,none,model_biased_exponential,16376,0,20000000,16384,0,9149342870,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1022,none,model_biased_exponential,16376,1,20000000,16384,0,9150179057,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,1022,none,model_biased_exponential,16376,2,20000000,16384,0,9141174490,2000207222435828
books_200M_uint64,200000000,radix,linear_regression,681,labs,binary,16368,0,20000000,16384,0,8104041533,2000207222435828
