dataset,n_keys,index,config,size_in_bytes,rep,n_samples,build_time,eval_time,lookup_time,eval_accu,lookup_accu
books_200M_uint64,200000000,B-tree,"sparcity=32",1.12696e+08,2,20000000,58013118,9753899686,16733570067,2000207532387290,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=4",9.01564e+08,0,20000000,459001894,16124850982,20615269231,2000207252436576,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=4",9.01564e+08,1,20000000,460058910,16116513105,20613533241,2000207252436576,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=4",9.01564e+08,2,20000000,459870421,16119163437,20617636943,2000207252436576,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=4096",880832,0,20000000,265542,2286279446,16047484750,2000248175246801,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=4096",880832,1,20000000,269678,2286259379,16048168625,2000248175246801,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=4096",880832,2,20000000,267694,2286289244,16047644679,2000248175246801,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=512",7.04427e+06,0,20000000,2258295,3609462136,15857076959,2000212332004305,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=512",7.04427e+06,1,20000000,2141757,3608878159,15884500510,2000212332004305,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=512",7.04427e+06,2,20000000,2144307,3609913879,15904372749,2000212332004305,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=64",5.63483e+07,0,20000000,28873954,8327439026,16245309131,2000207852403255,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=64",5.63483e+07,1,20000000,28840569,8324834384,16246164612,2000207852403255,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=64",5.63483e+07,2,20000000,28826266,8325500581,16244879731,2000207852403255,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=8",4.50782e+08,0,20000000,227371602,14119793828,19228096894,2000207292448960,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=8",4.50782e+08,1,20000000,227961206,14117078170,19211960969,2000207292448960,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=8",4.50782e+08,2,20000000,227999180,14116542828,19237283211,2000207292448960,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=8192",440680,0,20000000,132980,1993695342,16924351029,2000289132559825,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=8192",440680,1,20000000,146482,1993851951,16921622642,2000289132559825,2000207222435828
books_200M_uint64,200000000,B-tree,"sparcity=8192",440680,2,20000000,140788,1993937734,16923957753,2000289132559825,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=128",1510309968,0,20000000,11326297200,785568196,3504567838,4000416935931936,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=128",1510309968,1,20000000,11309511097,801659822,3491063277,4000416935931936,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=128",1510309968,2,20000000,11323893980,783980136,3499468914,4000416935931936,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=16",2078949456,0,20000000,13143467691,824645252,2504395515,4000414746730706,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=16",2078949456,1,20000000,10553145806,818844846,2501348995,4000414746730706,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=16",2078949456,2,20000000,10536316752,833626165,2488053408,4000414746730706,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=256",1137053776,0,20000000,9981889899,757407196,4255387604,4000419144391060,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=256",1137053776,1,20000000,9980101845,771627057,4264007416,4000419144391060,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=256",1137053776,2,20000000,9982697411,778021109,4275131295,4000419144391060,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=32",1836482640,0,20000000,9729862141,808660972,2650654745,4000415064177583,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=32",1836482640,1,20000000,12377309954,794424830,2646896019,4000415064177583,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=32",1836482640,2,20000000,12375978008,813413593,2642264229,4000415064177583,2000207222435828
books_200M_uint64,200000000,Compact Hist-Tree,"num_bins=1024,max_error=512",667103312,0,20000000,8073123021,687814178,4975368235,4000422696857727,2000207222435828
