dataset,layer1,layer2,n_models,bounds,size_in_bytes,mean_interval,median_interval,stdev_interval,min_interval,max_interval
books_200M_uint64,cubic_spline,linear_regression,16384,gabs,262200,43047.1,43051,268.733,21526,43051
books_200M_uint64,cubic_spline,linear_regression,16384,gind,262208,41682.3,41686,255,20387,41686
books_200M_uint64,cubic_spline,linear_regression,16384,labs,393264,427.153,291,1970.44,43,43051
books_200M_uint64,cubic_spline,linear_regression,16384,lind,524336,392.212,266,1894.7,43,41686
books_200M_uint64,linear_regression,linear_spline,16384,gabs,262184,9.274e+06,9344571,461084,4672286,9344571
books_200M_uint64,linear_regression,linear_spline,16384,gind,262192,4.65704e+06,4673030,217547,745,4673030
books_200M_uint64,linear_regression,linear_spline,16384,labs,393248,610665,389,2.28653e+06,63,9344571
books_200M_uint64,linear_regression,linear_spline,16384,lind,524320,297431,300,1.12824e+06,57,4672530
books_200M_uint64,linear_regression,linear_regression,16384,gabs,262184,4.85744e+06,4889715,249056,2444858,4889715
books_200M_uint64,linear_regression,linear_regression,16384,gind,262192,4.08049e+06,4106223,201285,1661516,4106223
books_200M_uint64,linear_regression,linear_regression,16384,labs,393248,310663,309,1.17268e+06,57,4889715
books_200M_uint64,linear_regression,linear_regression,16384,lind,524320,264671,285,994109,54,4106223
books_200M_uint64,radix,linear_spline,16384,gabs,262176,2538.99,2539,2.96255,1270,2539
books_200M_uint64,radix,linear_spline,16384,gind,262184,2517.99,2518,2.93431,1249,2518
books_200M_uint64,radix,linear_spline,16384,labs,393240,641.524,589,400.329,9,2539
books_200M_uint64,radix,linear_spline,16384,lind,524312,461.002,455,264.164,6,1470
books_200M_uint64,radix,linear_regression,16384,gabs,262176,2050.99,2051,1.90902,1057,2051
books_200M_uint64,radix,linear_regression,16384,gind,262184,1855,1855,1.66481,1036,1855
books_200M_uint64,radix,linear_regression,16384,labs,393240,481.827,467,283.976,7,2051
books_200M_uint64,radix,linear_regression,16384,lind,524312,438.482,430,253.288,5,1518
books_200M_uint64,linear_spline,linear_spline,32768,gabs,524328,1359,1359,1.33438,680,1359
books_200M_uint64,linear_spline,linear_spline,32768,gind,524336,1295,1295,1.24444,616,1295
