dataset,layer1,layer2,n_models,mean_ae,median_ae,stdev_ae,min_ae,max_ae
fb_200M_uint64,cubic_spline,linear_spline,16384,9.9978e+07,99977956,5.77223e+07,0,199956040
fb_200M_uint64,cubic_spline,linear_spline,32768,9.9945e+07,99944935,5.77033e+07,0,199890169
fb_200M_uint64,cubic_spline,linear_spline,65536,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,131072,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,262144,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,524288,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,1048576,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,2097152,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,4194304,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,8388608,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,16777216,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_spline,33554432,205743,220260,85099.9,0,374972
fb_200M_uint64,cubic_spline,linear_regression,64,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,cubic_spline,linear_regression,128,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,cubic_spline,linear_regression,256,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,cubic_spline,linear_regression,512,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,cubic_spline,linear_regression,1024,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,cubic_spline,linear_regression,2048,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,cubic_spline,linear_regression,4096,4.90983e+07,49099593,2.83465e+07,0,98203457
fb_200M_uint64,cubic_spline,linear_regression,8192,4.7123e+07,47127255,2.72051e+07,0,94265235
fb_200M_uint64,cubic_spline,linear_regression,16384,3.63944e+07,36414245,2.10059e+07,0,72871659
fb_200M_uint64,cubic_spline,linear_regression,32768,8.27899e+06,8333464,4.76112e+06,0,16803336
fb_200M_uint64,cubic_spline,linear_regression,65536,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,131072,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,262144,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,524288,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,1048576,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,2097152,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,4194304,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,8388608,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,16777216,116998,103844,78143.6,0,324884
fb_200M_uint64,cubic_spline,linear_regression,33554432,116998,103844,78143.6,0,324884
fb_200M_uint64,linear_regression,linear_spline,64,205743,220260,85099.9,0,374972
