dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,lookup_time,lookup_accu
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gind,model_biased_binary,16448,1,20000000,9756855137,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gind,model_biased_binary,16448,2,20000000,9766124255,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gind,binary,16448,0,20000000,10555611091,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gind,binary,16448,1,20000000,10565519609,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,gind,binary,16448,2,20000000,10555239807,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,labs,binary,24624,0,20000000,7938052952,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,labs,binary,24624,1,20000000,7938095222,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,labs,binary,24624,2,20000000,7937424744,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,lind,model_biased_binary,32816,0,20000000,7622975357,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,lind,model_biased_binary,32816,1,20000000,7633565901,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,lind,model_biased_binary,32816,2,20000000,7623192386,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,lind,binary,32816,0,20000000,7527673189,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,lind,binary,32816,1,20000000,7527469572,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,1024,lind,binary,32816,2,20000000,7538236394,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,none,model_biased_linear,32816,0,20000000,16026526317,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,none,model_biased_linear,32816,1,20000000,16016185505,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,none,model_biased_linear,32816,2,20000000,16026873739,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,none,model_biased_exponential,32816,0,20000000,8249719572,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,none,model_biased_exponential,32816,1,20000000,8249610276,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,none,model_biased_exponential,32816,2,20000000,8240264030,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gabs,binary,32824,0,20000000,9631314379,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gabs,binary,32824,1,20000000,9620746577,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gabs,binary,32824,2,20000000,9630282746,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gind,model_biased_binary,32832,0,20000000,9010473682,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gind,model_biased_binary,32832,1,20000000,9009293181,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gind,model_biased_binary,32832,2,20000000,9020613467,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gind,binary,32832,0,20000000,9796790098,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gind,binary,32832,1,20000000,9798818269,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,gind,binary,32832,2,20000000,9787214208,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,labs,binary,49200,0,20000000,7391924122,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,labs,binary,49200,1,20000000,7392162219,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,labs,binary,49200,2,20000000,7392278686,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,lind,model_biased_binary,65584,0,20000000,7124142359,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,lind,model_biased_binary,65584,1,20000000,7132512980,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,lind,model_biased_binary,65584,2,20000000,7122497457,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,lind,binary,65584,0,20000000,7060078938,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,lind,binary,65584,1,20000000,7070224516,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,2048,lind,binary,65584,2,20000000,7059735099,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,none,model_biased_linear,65584,0,20000000,14282514849,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,none,model_biased_linear,65584,1,20000000,14283083998,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,none,model_biased_linear,65584,2,20000000,14284750873,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,none,model_biased_exponential,65584,0,20000000,7663909687,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,none,model_biased_exponential,65584,1,20000000,7654276812,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,none,model_biased_exponential,65584,2,20000000,7664009699,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gabs,binary,65592,0,20000000,9175679245,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gabs,binary,65592,1,20000000,9163754831,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,4096,gabs,binary,65592,2,20000000,9174748277,2000207222435828
