dataset,n_keys,rmi,layer1,layer2,n_models,bounds,size_in_bytes,rep,build_time,checksum
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,gabs,2088,2,6381211909,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,gind,2096,0,6237340848,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,gind,2096,1,6249787291,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,gind,2096,2,6237386246,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,labs,3104,0,6384391786,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,labs,3104,1,6397265390,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,labs,3104,2,6397113110,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,lind,4128,0,6478591688,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,lind,4128,1,6491136159,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,128,lind,4128,2,6503886887,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,none,2080,0,5702901829,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,none,2080,1,5702983315,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,none,2080,2,5715923238,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,gabs,2088,0,8498483704,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,gabs,2088,1,8524867075,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,gabs,2088,2,8511559155,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,gind,2096,0,8378893691,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,gind,2096,1,8391586126,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,gind,2096,2,8391462644,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,labs,3104,0,8473966114,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,labs,3104,1,8499278128,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,labs,3104,2,8486726395,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,lind,4128,0,8583970234,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,lind,4128,1,8584420290,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,128,lind,4128,2,8584812898,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,none,2072,0,1072408143,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,none,2072,1,1098321355,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,none,2072,2,1085602155,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,gabs,2080,0,3627309606,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,gabs,2080,1,3653009520,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,gabs,2080,2,3639735862,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,gind,2088,0,3461826314,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,gind,2088,1,3474833069,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,gind,2088,2,3474808468,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,labs,3096,0,3649408260,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,labs,3096,1,3648396512,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,labs,3096,2,3648898868,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,lind,4120,0,3760218104,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,lind,4120,1,3760847781,0
books_200M_uint64,200000000,ours,radix,linear_spline,128,lind,4120,2,3773017073,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,none,2072,0,3183332494,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,none,2072,1,3183111849,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,none,2072,2,3196667655,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,gabs,2080,0,5789201587,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,gabs,2080,1,5802253746,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,gabs,2080,2,5802543078,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,gind,2088,0,5580823251,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,gind,2088,1,5606580926,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,gind,2088,2,5593421387,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,labs,3096,0,5738587988,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,labs,3096,1,5738266018,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,labs,3096,2,5751261615,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,lind,4120,0,5839963261,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,lind,4120,1,5852224646,0
books_200M_uint64,200000000,ours,radix,linear_regression,128,lind,4120,2,5853049564,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,none,4144,0,1813573519,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,none,4144,1,1813360477,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,none,4144,2,1826251318,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,gabs,4152,0,5204703285,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,gabs,4152,1,5204703994,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,gabs,4152,2,5217429576,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,gind,4160,0,5046203286,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,gind,4160,1,5071682869,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,gind,4160,2,5058978040,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,labs,6192,0,5087813598,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,labs,6192,1,5088017766,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,labs,6192,2,5087967275,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,lind,8240,0,5133580276,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,lind,8240,1,5133536977,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,256,lind,8240,2,5133497464,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,none,4144,0,3952754535,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,none,4144,1,3965553395,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,none,4144,2,3965484463,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,gabs,4152,0,7342150659,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,gabs,4152,1,7355011972,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,gabs,4152,2,7355070925,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,gind,4160,0,7210533087,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,gind,4160,1,7210904085,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,gind,4160,2,7223461007,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,labs,6192,0,7219419079,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,labs,6192,1,7218863935,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,labs,6192,2,7232014411,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,lind,8240,0,7270628338,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,lind,8240,1,7283932483,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,256,lind,8240,2,7270628357,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,none,4128,0,1475211648,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,none,4128,1,1487989806,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,none,4128,2,1488041305,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,gabs,4136,0,4317399119,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,gabs,4136,1,4330306780,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,gabs,4136,2,4317610380,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,gind,4144,0,4198657623,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,gind,4144,1,4198574177,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,gind,4144,2,4211436740,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,labs,6176,0,4269445943,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,labs,6176,1,4269484939,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,labs,6176,2,4282196103,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,lind,8224,0,4350837006,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,lind,8224,1,4363695048,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,256,lind,8224,2,4363563767,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,none,4128,0,3577687763,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,none,4128,1,3603835248,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,none,4128,2,3590778576,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,gabs,4136,0,6359861975,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,gabs,4136,1,6372238785,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,gabs,4136,2,6371820718,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,gind,4144,0,6303643030,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,gind,4144,1,6316823837,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,gind,4144,2,6316758961,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,labs,6176,0,6363297794,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,labs,6176,1,6376486696,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,labs,6176,2,6376575632,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,lind,8224,0,6429970181,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,lind,8224,1,6443623529,0
books_200M_uint64,200000000,ours,linear_spline,linear_regression,256,lind,8224,2,6443661370,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,256,none,4128,0,3576961484,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,256,none,4128,1,3576799016,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,256,none,4128,2,3576759612,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,256,gabs,4136,0,6369456164,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,256,gabs,4136,1,6382254917,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,256,gabs,4136,2,6382442596,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,256,gind,4144,0,6248624677,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,256,gind,4144,1,6262056348,0
